date,Weekday,Sample
2020/10/1,木,850
2020/10/2,金,1126
2020/10/3,土,690
2020/10/4,日,
2020/10/5,月,1516
2020/10/6,火,906
2020/10/7,水,1029
2020/10/8,木,837
2020/10/9,金,900
2020/10/10,土,565
2020/10/11,日,
2020/10/12,月,1345
2020/10/13,火,1029
2020/10/14,水,814
2020/10/15,木,952
2020/10/16,金,1176
2020/10/17,土,949
2020/10/18,日,
2020/10/19,月,1218
2020/10/20,火,994
2020/10/21,水,791
2020/10/22,木,885
2020/10/23,金,1127
2020/10/24,土,527
2020/10/25,日,
2020/10/26,月,1128
2020/10/27,火,879
2020/10/28,水,770
2020/10/29,木,954
2020/10/30,金,1006
2020/10/31,土,777